text,text_processed,topic
Καραμανλής: Πράσινο το σύνολο των έργων υποδομών - Φιλικά προς το περιβάλλον τα 1.300 νέα λεωφορεία που έρχονται https://t.co/WJgrYzSZw0,καραμανλησ πρασινο το συνολο των εργων υποδομων φιλικα προσ το περιβαλλον τα νεα λεωφορεια που ερχονται,2
"Χανιά: Ο ενεργειακός μετασχηματισμός, στο επίκεντρο του 6ου Παγκρήτιου Ενεργειακού Συνεδρίου

https://t.co/xUkmas00nK https://t.co/GXxe5e4Qty",χανια ο ενεργειακοσ μετασχηματισμοσ στο επικεντρο του ου παγκρητιου ενεργειακου συνεδριου,2
"Βασίλης Κικίλιας: 
«Νούμερο 1 προορισμός η Ελλάδα για τους ταξιδιώτες από Γαλλία και Ιταλία» 

Ο υπουργός Τουρισμού επισήμανε, ότι παρά το παγκόσμιο ασταθές περιβάλλον, τα αποτελέσματα που υπάρχουν στις αφίξεις τουριστών στη χώρα μας είναι εντυπωσιακά

https://t.co/arzQCKG3DZ https://t.co/kGhr1hCAgb",βασιλησ κικιλιασ νουμερο προορισμοσ η ελλαδα για τουσ ταξιδιωτεσ απο γαλλια και ιταλια ο υπουργοσ τουρισμου επισημανε οτι παρα το παγκοσμιο ασταθεσ περιβαλλον τα αποτελεσματα που υπαρχουν στισ αφιξεισ τουριστων στη χωρα μασ ειναι εντυπωσιακα,2
"«Η Ελλάδα είναι φέτος ο νούμερο 1 προορισμός για τους ταξιδιώτες από Γαλλία και Ιταλία» ανέφερε ο υπουργός Τουρισμού Βασίλης Κικίλιας μιλώντας στον τηλεοπτικό σταθμό Open, επισημαίνοντας ότι -παρά το παγκόσμιο ασταθές περιβάλλον- τα εντυπωσιακά

https://t.co/ttKZ0oG5DQ",η ελλαδα ειναι φετοσ ο νουμερο προορισμοσ για τουσ ταξιδιωτεσ απο γαλλια και ιταλια ανεφερε ο υπουργοσ τουρισμου βασιλησ κικιλιασ μιλωντασ στον τηλεοπτικο σταθμο open επισημαινοντασ οτι παρα το παγκοσμιο ασταθεσ περιβαλλον τα εντυπωσιακα,2
ΠΕΡΙΒΑΛΛΟΝ – Η ΜΟΛΥΝΣΗ ΤΩΝ ΥΔΑΤΩΝ https://t.co/xhaeyPwZl8,περιβαλλον η μολυνση των υδατων,2
Καρδία: Εγκαινιάστηκε το Πάρκο Φυτοποικιλότητας με τα χίλια σπάνια φυτά https://t.co/gefkdgY1Ba #ΔΗΜΟΤΙΚΑ #ΔΤ #ΚΑΡΔΙΑ #ΠΕΡΙΒΑΛΛΟΝ https://t.co/V0peLWJLG2,καρδια εγκαινιαστηκε το παρκο φυτοποικιλοτητασ με τα χιλια σπανια φυτα δημοτικα δτ καρδια περιβαλλον,2
Πώς θα περνάς τέλεια στην παραλία χωρίς να επιβαρύνεις το περιβάλλον https://t.co/l1KdMzeYvg,πωσ θα περνασ τελεια στην παραλια χωρισ να επιβαρυνεισ το περιβαλλον,2
Η στάση της κυβέρνησης και των κομμάτων κατασκεύασαν ένα εχθρικό περιβάλλον για τους πολίτες https://t.co/qksiZyal58 https://t.co/NGmog0Z28Y,η σταση τησ κυβερνησησ και των κομματων κατασκευασαν ενα εχθρικο περιβαλλον για τουσ πολιτεσ,2
Ο Δήμαρχος Χερσονήσου εκπροσώπησε την ΚΕΔΕ σε διαδικτυακή σύσκεψη για τα έργα προσαρμογής στην Κλιματική Αλλαγή https://t.co/ikVNW34rgY,ο δημαρχοσ χερσονησου εκπροσωπησε την κεδε σε διαδικτυακη συσκεψη για τα εργα προσαρμογησ στην κλιματικη αλλαγη,2
Στη Φινλανδία η πρώτη στον κόσμο μπαταρία από άμμο που αποθηκεύει «πράσινη» ενέργεια - https://t.co/3v0HtATSpN https://t.co/SPC8Y0yjyv,στη φινλανδια η πρωτη στον κοσμο μπαταρια απο αμμο που αποθηκευει πρασινη ενεργεια,2
