text,text_processed,topic
Η #κλιματική_αλλαγή απειλεί τη #Μεσόγειο – Δραματική πρόβλεψη για αύξηση των #πυρκαγιών https://t.co/i9UqwrPYfq via @politis_news,η κλιματικη_αλλαγη απειλει τη μεσογειο δραματικη προβλεψη για αυξηση των πυρκαγιων via politis_news,0
Η κλιματική αλλαγή απειλεί τη Μεσόγειο - Δραματική πρόβλεψη για αύξηση των πυρκαγιών - https://t.co/XiWrmtxQ1Y https://t.co/Tk2B1YOVSQ,η κλιματικη αλλαγη απειλει τη μεσογειο δραματικη προβλεψη για αυξηση των πυρκαγιων,0
"[https://t.co/bDHZLmoC6L]Μελέτη: Η κλιματική  #Αλλαγή θα αυξήσει τις δασικές πυρκαγιές παγκοσμίως, ιδίως στη  #Μεσόγειο https://t.co/UmUw8yGP4m",η κλιματικη αλλαγη θα αυξησει τισ δασικεσ πυρκαγιεσ παγκοσμιωσ ιδιωσ στη μεσογειο,0
Η κλιματική αλλαγή θα αυξήσει τα επόμενα χρόνια τις δασικές πυρκαγιές παγκοσμίως - mononews #mononewsGR https://t.co/Z7xEXfKMCT,η κλιματικη αλλαγη θα αυξησει τα επομενα χρονια τισ δασικεσ πυρκαγιεσ παγκοσμιωσ mononews mononewsgr,0
"Μελέτη: Η κλιματική αλλαγή θα αυξήσει τα επόμενα χρόνια τις δασικές πυρκαγιές παγκοσμίως, ιδίως στη Μεσόγειο

https://t.co/BMW3zl2ADn",μελετη η κλιματικη αλλαγη θα αυξησει τα επομενα χρονια τισ δασικεσ πυρκαγιεσ παγκοσμιωσ ιδιωσ στη μεσογειο,0
"Η κλιματική αλλαγή θα αυξήσει τα επόμενα χρόνια τις δασικές πυρκαγιές παγκοσμίως, ιδίως στη Μεσόγειο,
https://t.co/EUiqKEInYL,",η κλιματικη αλλαγη θα αυξησει τα επομενα χρονια τισ δασικεσ πυρκαγιεσ παγκοσμιωσ ιδιωσ στη μεσογειο,0
"Μελέτη: Η κλιματική αλλαγή θα αυξήσει τα επόμενα χρόνια τις δασικές πυρκαγιές παγκοσμίως, ιδίως στη Μεσόγειο https://t.co/66O7L39m7i",μελετη η κλιματικη αλλαγη θα αυξησει τα επομενα χρονια τισ δασικεσ πυρκαγιεσ παγκοσμιωσ ιδιωσ στη μεσογειο,0
Κλιματική αλλαγή: «Πρωτοφανής τα τελευταία 4.000 χρόνια» η άνοδος της στάθμης των θαλασσών--https://t.co/LJbWH870H9,κλιματικη αλλαγη πρωτοφανησ τα τελευταια χρονια η ανοδοσ τησ σταθμησ των θαλασσων,0
Η κλιματική αλλαγή επηρεάζει τα παιδιά ακόμη και πριν τη γέννηση https://t.co/U9dUtHxxJ5,η κλιματικη αλλαγη επηρεαζει τα παιδια ακομη και πριν τη γεννηση,0
"Βρετανία: Ακτιβιστές κόλλησαν τα χέρια τους σε πίνακα του Βαν Γκογκ, διαμαρτυρόμενοι για την κλιματική αλλαγή – Βίντεο https://t.co/MqtNHJlZUA",βρετανια ακτιβιστεσ κολλησαν τα χερια τουσ σε πινακα του βαν γκογκ διαμαρτυρομενοι για την κλιματικη αλλαγη βιντεο,0
