text,text_processed,topic
"Βασίλης Κικίλιας: 
«Νούμερο 1 προορισμός η Ελλάδα για τους ταξιδιώτες από Γαλλία και Ιταλία» 

Ο υπουργός Τουρισμού επισήμανε, ότι παρά το παγκόσμιο ασταθές περιβάλλον, τα αποτελέσματα που υπάρχουν στις αφίξεις τουριστών στη χώρα μας είναι εντυπωσιακά

https://t.co/arzQCKG3DZ https://t.co/kGhr1hCAgb",βασιλησ κικιλιασ νουμερο προορισμοσ η ελλαδα για τουσ ταξιδιωτεσ απο γαλλια και ιταλια ο υπουργοσ τουρισμου επισημανε οτι παρα το παγκοσμιο ασταθεσ περιβαλλον τα αποτελεσματα που υπαρχουν στισ αφιξεισ τουριστων στη χωρα μασ ειναι εντυπωσιακα,1
"«Η Ελλάδα είναι φέτος ο νούμερο 1 προορισμός για τους ταξιδιώτες από Γαλλία και Ιταλία» ανέφερε ο υπουργός Τουρισμού Βασίλης Κικίλιας μιλώντας στον τηλεοπτικό σταθμό Open, επισημαίνοντας ότι -παρά το παγκόσμιο ασταθές περιβάλλον- τα εντυπωσιακά

https://t.co/ttKZ0oG5DQ",η ελλαδα ειναι φετοσ ο νουμερο προορισμοσ για τουσ ταξιδιωτεσ απο γαλλια και ιταλια ανεφερε ο υπουργοσ τουρισμου βασιλησ κικιλιασ μιλωντασ στον τηλεοπτικο σταθμο open επισημαινοντασ οτι παρα το παγκοσμιο ασταθεσ περιβαλλον τα εντυπωσιακα,1
«Ο λαγοκέφαλος και τοξικά είδη ψαριών απειλούν την αλιεία και το θαλάσσιο περιβάλλον στο Αιγαίο» #Δημοκρατική #Ρόδος #Δωδεκάνησα https://t.co/QiNkPQ3DL8,ο λαγοκεφαλοσ και τοξικα ειδη ψαριων απειλουν την αλιεια και το θαλασσιο περιβαλλον στο αιγαιο δημοκρατικη ροδοσ δωδεκανησα,1
Κλιματική αλλαγή: Η ΕΕ προειδοποιεί για καλοκαίρι φωτιάς και στάχτης #Δημοκρατική #Ρόδος #Δωδεκάνησα https://t.co/BYTOeSb1ai,κλιματικη αλλαγη η εε προειδοποιει για καλοκαιρι φωτιασ και σταχτησ δημοκρατικη ροδοσ δωδεκανησα,1
Ανανεώσιμες Πηγές Ενέργειας: Το νέο Χωροταξικό για τα αιολικά πάρκα – Ολο το σχέδιο #Δημοκρατική #Ρόδος #Δωδεκάνησα https://t.co/30pNB64msv,ανανεωσιμεσ πηγεσ ενεργειασ το νεο χωροταξικο για τα αιολικα παρκα ολο το σχεδιο δημοκρατικη ροδοσ δωδεκανησα,1
"Ο κ. Κικίλιας αναφέρθηκε στον μεγάλο στόχο της επιμήκυνσης της τουριστικής περιόδου και τους δώδεκα μήνες τον χρόνο, προαναγγέλλοντας μάλιστα ότι η επόμενη καμπάνια για τον βιώσιμο τουρισμό -που αποτελεί, όπως επισήμανε, τη νέα ισχυρή τάση στο τουριστικό… https://t.co/ZXz2D1AR6F",ο κ κικιλιασ αναφερθηκε στον μεγαλο στοχο τησ επιμηκυνσησ τησ τουριστικησ περιοδου και τουσ δωδεκα μηνεσ τον χρονο προαναγγελλοντασ μαλιστα οτι η επομενη καμπανια για τον βιωσιμο τουρισμο που αποτελει οπωσ επισημανε τη νεα ισχυρη ταση στο τουριστικο,1
Το Περιφερειακό Σχέδιο για την Προσαρμογή στην κλιματική αλλαγή της ΠΝΑι (ΠεΣΠΚΑ) #Δημοκρατική #Ρόδος #Δωδεκάνησα https://t.co/dDgINTU7MU,το περιφερειακο σχεδιο για την προσαρμογη στην κλιματικη αλλαγη τησ πναι πεσπκα δημοκρατικη ροδοσ δωδεκανησα,1
Η Έλενα Κουντουρά ομιλήτρια-συντονίστρια της συζήτησης για τον βιώσιμο τουρισμό στο Asian Leadership Conference-2022 https://t.co/b132S1I6Nk #ΕΛΕΝΑΚΟΥΝΤΟΥΡΑ,η ελενα κουντουρα ομιλητριασυντονιστρια τησ συζητησησ για τον βιωσιμο τουρισμο στο asian leadership conference ελενακουντουρα,1
Πώς μπορεί η βιώσιμη ανάπτυξη να γίνει μέρος της καθημερινότητας; – Συνέδριο στη Νίσυρο #Δημοκρατική #Ρόδος #Δωδεκάνησα https://t.co/Y26eZW4FFe,πωσ μπορει η βιωσιμη αναπτυξη να γινει μεροσ τησ καθημερινοτητασ συνεδριο στη νισυρο δημοκρατικη ροδοσ δωδεκανησα,1
Ίδρυμα Αντενάουερ: H Aστυπάλαια σημαντικό παράδειγμα των προσπαθειών για καινοτομία και πράσινη ενέργεια #Δημοκρατική #Ρόδος #Δωδεκάνησα https://t.co/iYRJ4HLnr5,ιδρυμα αντεναουερ h aστυπαλαια σημαντικο παραδειγμα των προσπαθειων για καινοτομια και πρασινη ενεργεια δημοκρατικη ροδοσ δωδεκανησα,1
